FPS,AVG_FPS,Flachhänger,left_x,top_y,width,height
15.6,15.6,100%,549,446,458,229
15.6,15.6,100%,547,443,458,232
15.6,15.6,100%,547,444,457,235
15.6,15.6,100%,545,444,460,235
15.6,15.6,100%,548,444,457,232
15.5,15.6,100%,547,445,456,232
15.6,15.6,100%,544,443,461,234
15.6,15.6,100%,542,444,460,230
15.6,15.6,100%,539,440,463,241
15.6,15.6,100%,541,444,461,232
15.6,15.6,100%,537,443,465,234
15.6,15.6,100%,536,443,466,235
15.6,15.6,100%,533,441,468,235
15.5,15.6,100%,532,440,468,240
15.6,15.6,100%,529,442,470,235
15.6,15.6,100%,526,440,475,240
15.6,15.6,100%,526,440,476,240
15.6,15.6,99%,524,440,473,235
15.6,15.6,100%,527,440,469,238
15.6,15.6,100%,526,438,474,241
15.5,15.6,100%,522,438,475,241
15.5,15.6,100%,526,439,472,239
15.6,15.6,100%,524,440,474,236
15.6,15.6,100%,526,440,468,234
15.6,15.6,100%,523,438,468,240
15.6,15.6,100%,523,437,470,242
15.6,15.6,100%,521,438,473,240
15.4,15.6,100%,520,439,474,240
15.4,15.6,100%,522,437,470,241
15.4,15.6,100%,518,436,473,243
15.2,15.6,100%,519,437,470,242
15.3,15.6,100%,518,438,472,239
15.4,15.6,99%,517,438,472,240
15.4,15.6,99%,520,439,466,243
15.3,15.6,100%,519,439,466,244
15.4,15.6,99%,519,440,466,238
15.4,15.6,99%,511,438,464,243
15.5,15.6,99%,510,438,465,247
15.5,15.6,99%,511,438,463,250
15.5,15.6,99%,511,438,462,246
15.5,15.6,99%,512,439,459,241
15.6,15.6,99%,513,437,460,247
15.6,15.6,99%,511,439,460,245
15.6,15.6,100%,508,440,464,243
15.6,15.6,100%,509,439,462,243
15.6,15.6,100%,510,436,461,247
15.6,15.6,100%,508,439,462,249
15.7,15.6,99%,508,440,461,246
15.7,15.6,100%,507,437,461,246
15.7,15.6,100%,505,439,461,244
15.7,15.6,100%,508,438,458,251
15.7,15.6,100%,502,439,462,247
15.7,15.6,100%,502,439,464,245
15.7,15.6,100%,497,438,468,246
15.7,15.6,100%,495,437,468,250
15.8,15.6,100%,496,437,469,250
15.8,15.6,100%,494,441,468,245
15.8,15.6,100%,492,439,469,244
15.8,15.6,100%,490,439,475,245
15.8,15.6,100%,496,436,465,249
15.7,15.6,100%,494,437,466,250
15.6,15.6,100%,488,438,468,245
15.6,15.6,100%,492,439,464,245
15.6,15.5,100%,490,439,467,246
15.6,15.5,100%,486,438,468,246
15.6,15.5,100%,481,441,477,246
15.5,15.5,100%,485,441,463,244
15.6,15.5,100%,482,443,463,241
15.6,15.5,100%,481,441,468,246
15.6,15.5,100%,476,441,467,245
15.6,15.5,100%,473,442,470,245
15.6,15.5,100%,474,442,469,244
15.6,15.5,100%,473,441,461,245
15.6,15.5,100%,469,443,472,244
15.6,15.5,100%,468,442,467,242
15.5,15.5,100%,466,443,466,241
15.5,15.5,100%,460,444,474,248
15.5,15.5,100%,462,443,467,244
15.3,15.5,100%,456,442,473,250
15.2,15.5,100%,459,440,464,252
15.3,15.5,100%,454,441,467,248
15.4,15.5,100%,452,440,468,253
15.4,15.5,100%,453,438,465,255
15.5,15.5,100%,449,440,468,254
15.5,15.5,100%,448,438,464,252
15.5,15.5,100%,450,438,460,255
15.6,15.5,100%,447,439,462,252
15.6,15.5,100%,446,440,462,253
15.5,15.5,100%,444,441,463,254
15.6,15.5,100%,443,440,460,256
15.5,15.5,100%,441,440,461,256
15.5,15.5,100%,437,439,464,255
15.5,15.5,100%,437,438,463,260
15.6,15.5,100%,435,440,466,256
15.6,15.5,100%,432,439,469,263
15.5,15.5,100%,431,439,464,258
15.5,15.5,100%,432,440,462,256
15.6,15.5,100%,429,438,466,261
15.6,15.5,100%,427,440,467,260
15.6,15.5,100%,428,438,465,258
15.6,15.5,100%,425,438,459,262
15.6,15.5,100%,420,435,468,267
15.6,15.5,100%,418,434,462,273
15.6,15.5,100%,414,435,464,270
15.6,15.5,100%,408,434,470,273
15.6,15.5,100%,407,434,468,272
15.5,15.5,100%,403,433,468,276
15.3,15.5,100%,398,430,472,282
15.4,15.5,100%,395,432,474,277
15.4,15.5,100%,394,431,474,282
15.5,15.5,99%,387,434,482,277
15.5,15.5,100%,387,433,482,278
15.6,15.5,99%,379,431,475,281
15.6,15.5,99%,380,431,474,283
15.6,15.5,99%,380,434,471,278
15.6,15.5,100%,378,435,470,275
15.6,15.5,100%,375,435,473,275
15.6,15.5,99%,374,439,471,270
15.6,15.5,100%,371,438,471,276
15.6,15.5,100%,371,440,470,275
15.6,15.5,100%,365,439,475,276
15.5,15.5,100%,359,440,479,274
15.6,15.5,100%,357,440,479,276
15.5,15.5,100%,358,440,475,274
15.5,15.5,100%,354,441,478,273
15.5,15.5,100%,350,438,480,280
15.5,15.5,100%,346,440,480,277
15.5,15.5,100%,347,437,478,280
15.6,15.5,100%,343,437,481,281
15.6,15.5,100%,338,437,485,277
15.6,15.5,100%,335,437,485,280
15.6,15.5,100%,331,438,484,281
15.7,15.5,100%,330,440,486,280
15.7,15.5,100%,328,438,485,279
15.6,15.5,100%,325,440,483,281
15.6,15.5,100%,327,439,481,276
15.7,15.5,100%,325,440,480,277
15.7,15.5,100%,323,442,481,279
15.7,15.5,100%,320,442,482,277
15.6,15.5,100%,319,442,482,277
15.7,15.5,100%,320,442,476,279
15.7,15.5,100%,314,442,487,279
15.8,15.5,100%,318,443,479,280
15.7,15.5,100%,313,443,481,280
15.8,15.5,100%,314,445,480,277
15.8,15.5,100%,315,444,479,278
15.7,15.5,100%,313,439,482,286
15.7,15.5,100%,309,443,486,280
15.7,15.5,100%,311,443,482,280
15.7,15.5,100%,308,442,483,283
15.7,15.5,100%,304,442,486,284
15.6,15.5,100%,302,443,489,281
15.7,15.5,100%,304,441,486,285
15.7,15.5,100%,305,440,482,287
15.6,15.5,100%,303,441,486,286
15.6,15.5,100%,304,443,482,285
15.6,15.5,100%,305,445,479,279
15.6,15.6,100%,302,441,482,285
15.6,15.6,100%,305,444,479,282
15.6,15.6,100%,301,445,481,281
15.6,15.6,100%,297,444,485,282
15.6,15.6,100%,298,440,483,289
15.7,15.6,100%,297,442,483,287
15.7,15.6,100%,296,444,486,284
15.7,15.6,100%,295,447,486,279
15.7,15.6,100%,293,446,485,280
15.8,15.6,100%,295,446,480,283
15.7,15.6,100%,292,446,484,280
15.7,15.6,100%,294,444,479,285
15.7,15.6,100%,291,443,485,287
15.7,15.6,100%,294,441,478,292
15.7,15.6,100%,293,443,476,288
15.7,15.6,100%,290,443,480,287
15.7,15.6,100%,290,444,480,287
15.6,15.6,100%,289,443,480,291
15.6,15.6,100%,288,444,478,288
15.7,15.6,100%,288,444,479,287
15.6,15.6,99%,292,443,475,289
15.6,15.6,100%,281,444,493,302
15.5,15.6,100%,286,442,481,291
15.5,15.6,99%,286,440,477,295
15.5,15.6,100%,287,439,475,296
15.5,15.6,100%,282,441,482,294
15.5,15.6,100%,273,442,497,308
15.4,15.6,100%,271,442,499,307
15.4,15.6,100%,279,439,481,299
15.5,15.6,100%,272,438,493,314
15.5,15.6,100%,273,439,493,310
15.5,15.6,100%,275,436,486,304
15.5,15.6,100%,267,440,502,310
15.5,15.6,100%,275,439,486,298
15.5,15.6,100%,277,438,479,301
15.5,15.6,100%,268,441,496,309
15.5,15.6,100%,275,436,484,304
15.6,15.6,100%,275,435,482,304
15.6,15.6,100%,273,435,484,303
15.7,15.6,100%,275,436,482,302
15.5,15.6,100%,274,436,484,302
